"","ldaOut.topics","t1_2","t2_3","V1","V2","V3","V4","V5"
"Adelman_UNCChapel Hill.txt",3,1.01324503311258,1.13533834586466,0.136585365853659,0.152845528455285,0.248780487804878,0.245528455284553,0.216260162601626
"Bardhan_UTDallas.txt",1,2.15533980582524,1.33766233766234,0.438735177865613,0.0909090909090909,0.203557312252964,0.152173913043478,0.114624505928854
"Baxter_NCSU.txt",5,1.74675324675325,1.69230769230769,0.226470588235294,0.130882352941176,0.133823529411765,0.113235294117647,0.395588235294118
"Begoli_JICS UT Knoxville.txt",2,1.20535714285714,1.6231884057971,0.161592505854801,0.31615925058548,0.110070257611241,0.149882903981265,0.262295081967213
"Beling_UVA.txt",2,2.5625,1.55555555555556,0.0956375838926175,0.481543624161074,0.120805369127517,0.114093959731544,0.187919463087248
"Bellay_Battelle.txt",1,1.02564102564103,1.5234375,0.31201248049922,0.0982839313572543,0.0858034321372855,0.304212168486739,0.199687987519501
"Bert_UnivofLouisville.txt",5,1.35323383084577,2.45121951219512,0.300898203592814,0.122754491017964,0.0673652694610778,0.101796407185629,0.407185628742515
"Bikdash_NC A&T.txt",5,2.35,1.11111111111111,0.125862068965517,0.172413793103448,0.141379310344828,0.155172413793103,0.405172413793103
"Boker_UVA.txt",4,1.36538461538462,1.18181818181818,0.21010101010101,0.177777777777778,0.151515151515152,0.286868686868687,0.173737373737374
"Brown_UNCCharlotte.txt",1,5.18811881188119,1.44285714285714,0.647713226205192,0.0828182941903585,0.124845488257108,0.0580964153275649,0.0865265760197775
"Burnstein_ULLafayette.txt",1,1.28342245989305,1.17610062893082,0.314547837483617,0.100917431192661,0.208387942332896,0.131061598951507,0.245085190039318
"Chirkova_NCSU.txt",1,2.83333333333333,1.2,0.515151515151515,0.107575757575758,0.0439393939393939,0.181818181818182,0.151515151515152
"Clifford_Emory.txt",1,4.21782178217822,1.02020202020202,0.523985239852399,0.115621156211562,0.114391143911439,0.121771217712177,0.124231242312423
"Cruz_UnivofOklahoma.txt",3,1.85897435897436,1.09859154929577,0.102597402597403,0.202597402597403,0.376623376623377,0.184415584415584,0.133766233766234
"Cruz-Neira_UALR.txt",5,1.88535031847134,1.4537037037037,0.0816944024205749,0.0695915279878971,0.16338880484115,0.237518910741301,0.447806354009077
"Davis_RAND.txt",1,1,1.07142857142857,0.214285714285714,0.214285714285714,0.171428571428571,0.2,0.2
"Diab_GWU.txt",5,3.03305785123967,1.61333333333333,0.111441307578009,0.179791976225854,0.0817236255572065,0.0817236255572065,0.545319465081724
"Douglas_UnivofArkansas.txt",5,1.94444444444444,1.38461538461538,0.126696832579186,0.147058823529412,0.126696832579186,0.203619909502262,0.395927601809955
"Dreher_NCSU.txt",4,2.9349593495935,1.61842105263158,0.110144927536232,0.0782608695652174,0.110144927536232,0.523188405797101,0.178260869565217
"Dunaway_UL Lafayette.txt",3,1.72,1.12359550561798,0.16374269005848,0.173489278752437,0.335282651072125,0.132553606237817,0.194931773879142
"Edirisinghe_GAState.txt",3,1.21782178217822,1.04123711340206,0.128205128205128,0.215811965811966,0.262820512820513,0.185897435897436,0.207264957264957
"Feltus_Clemson.txt",5,4.22666666666667,2.02702702702703,0.0600414078674948,0.0766045548654244,0.05175983436853,0.15527950310559,0.656314699792961
"Flattau_PsySiP.txt",1,3.33116883116883,1.1937984496124,0.546325878594249,0.0425985090521832,0.109691160809372,0.137380191693291,0.164004259850905
"Fox_UVA.txt",1,1.2,1,0.230769230769231,0.192307692307692,0.192307692307692,0.192307692307692,0.192307692307692
